,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,westport,1,US,1619266475,50,41.1415,-73.3579,53.01,6.91
1,rikitea,100,PF,1619266186,78,-23.1203,-134.9692,76.41,10.98
2,port alfred,23,ZA,1619266475,52,-33.5906,26.891,75.47,13.89
3,kenora,20,CA,1619266316,58,49.8167,-94.4337,23.0,3.44
4,gengenbach,10,DE,1619266476,36,48.4,8.0167,68.0,3.0
5,kerouane,57,GN,1619266476,23,9.2667,-9.0167,101.8,2.91
6,saint-philippe,40,RE,1619266477,74,-21.3585,55.7679,82.4,31.07
7,ushuaia,75,AR,1619266477,81,-54.8,-68.3,44.6,4.61
8,monteiro,41,BR,1619266477,57,-7.8894,-37.12,79.66,7.63
9,albany,65,US,1619266244,55,42.6001,-73.9662,51.01,1.01
10,alofi,24,NU,1619266478,94,-19.0595,-169.9187,75.2,2.3
11,hermanus,100,ZA,1619266478,59,-34.4187,19.2345,75.0,3.0
12,punta arenas,0,CL,1619266366,87,-53.15,-70.9167,46.4,9.22
13,kununurra,6,AU,1619266478,60,-15.7667,128.7333,69.8,5.75
14,busselton,6,AU,1619266479,75,-33.65,115.3333,64.0,4.88
15,lebu,9,CL,1619266479,86,-37.6167,-73.65,50.67,11.41
16,tiksi,100,RU,1619266479,89,71.6872,128.8694,26.2,14.2
17,pineville,40,US,1619266226,94,31.3224,-92.4343,62.6,1.41
18,dingle,81,PH,1619266480,79,10.9995,122.6711,79.57,2.39
19,hobyo,70,SO,1619266480,63,5.3505,48.5268,87.1,10.92
20,pevek,97,RU,1619266337,94,69.7008,170.3133,10.49,2.68
21,atuona,20,PF,1619266481,77,-9.8,-139.0333,79.63,17.78
22,ancud,56,CL,1619266481,60,-41.8697,-73.8203,44.01,13.0
23,trat,100,TH,1619266481,99,12.5,102.5,80.01,3.47
24,clyde river,75,CA,1619266482,92,70.4692,-68.5914,6.8,4.61
25,santa cruz,90,BO,1619266273,94,-17.8,-63.1667,69.8,18.41
26,port said,0,EG,1619266304,64,31.2565,32.2841,73.4,12.66
27,puerto ayora,18,EC,1619266482,96,-0.7393,-90.3518,77.0,5.99
28,sao filipe,72,CV,1619266483,72,14.8961,-24.4956,72.55,10.63
29,east london,0,ZA,1619266483,53,-33.0153,27.9116,75.2,10.36
30,mataura,11,NZ,1619266483,94,-46.1927,168.8643,41.0,5.01
31,manyana,0,BW,1619266483,16,-23.4,21.7167,79.14,5.75
32,merauke,87,ID,1619266484,83,-8.4667,140.3333,80.87,9.62
33,kapaa,40,US,1619266484,73,22.0752,-159.319,73.4,18.41
34,kavieng,21,PG,1619266485,76,-2.5744,150.7967,81.36,6.85
35,goderich,46,CA,1619266405,75,43.7501,-81.7165,41.0,2.3
36,saint anthony,90,US,1619266485,87,45.0205,-93.218,39.2,10.36
37,bluff,37,NZ,1619266485,94,-46.6,168.3333,41.0,5.01
38,longyearbyen,75,SJ,1619266485,68,78.2186,15.6401,26.6,9.22
39,dunedin,57,NZ,1619266486,89,-45.8742,170.5036,48.99,4.0
40,hobart,40,AU,1619266486,62,-42.8794,147.3294,52.0,8.05
41,tasiilaq,75,GL,1619266487,60,65.6145,-37.6368,39.2,14.97
42,bengkulu,91,ID,1619266487,79,-3.8004,102.2655,79.68,5.19
43,plouzane,0,FR,1619266487,33,48.3833,-4.6167,73.4,16.11
44,campodarsego,40,IT,1619266488,60,45.5061,11.9209,71.01,5.75
45,carnarvon,0,AU,1619266488,78,-24.8667,113.6333,73.4,8.05
46,tuktoyaktuk,100,CA,1619266488,96,69.4541,-133.0374,14.61,5.48
47,cap malheureux,63,MU,1619266489,82,-19.9842,57.6142,80.01,8.01
48,tromso,75,NO,1619266489,55,69.6496,18.957,35.6,14.97
49,bambous virieux,75,MU,1619266489,89,-20.3428,57.7575,80.01,11.5
50,upernavik,98,GL,1619266490,80,72.7868,-56.1549,33.49,2.8
51,budogoshch,99,RU,1619266490,56,59.2816,32.4707,43.36,6.26
52,hamilton,90,US,1619266328,87,39.1834,-84.5333,50.0,4.72
53,klaksvik,40,FO,1619266490,81,62.2266,-6.589,50.0,5.75
54,san marcos,90,US,1619266491,77,33.1434,-117.1661,57.99,1.97
